Sentence,Sentiment
"In a newly issued market update, the automotive company cut its earnings guidance across its principal markets, adding to bearish sentiment; this was update reference N00231.",negative
"Following its recent business review, the cybersecurity company recorded lower net income during the latest trading period, raising concerns about growth; this was update reference N02505.",negative
Edited Transcript of EKTA B.ST earnings conference call or presentation 15-Nov-19 10:00am GMT,neutral
Investment in Canada's oil-sands is on track to grow for the first time since prices crashed in 2014 https://t.co/Ws3dGV4VgC,positive
PJT Partners declares $0.05 dividend,neutral
"In a newly issued market update, the banking group reported stronger revenue across its core operations, supporting a positive outlook; this was update reference P01778.",positive
user On any significant Vol over 11.30 in BAC it's a good Entry IMHO.,positive
"During the latest reporting period, the e-commerce platform raised its earnings guidance for the current quarter, boosting investor confidence; this was update reference P00213.",positive
"In a newly issued market update, the financial group reported slower order growth for its main business segment, raising concerns about growth; this was update reference N01421.",negative
"Is LSC Communications, Inc. (LKSD) Is Burning These Hedge Funds",neutral
"Dec. gold settles at $1,471.90/oz, up $3.40, or 0.2%",positive
Target Hospitality downgraded to perform from outperform at Oppenheimer,negative
States struggling with highest credit card debt? Trumps South https://t.co/K1HR5rj8i1 by @SibileTV https://t.co/jFPxfLNasy,neutral
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive
"In its latest update, the property developer posted a quarterly loss for the current quarter, weakening investor confidence; this was update reference N03753.",negative
"In a newly issued market update, the banking group lowered its revenue forecast across its major business units, signaling weaker momentum; this was update reference N01078.",negative
General Announcement::Monthly Valuation of Assets and Utilisation of Cash #SingaporeExchange #Stock #MarketScreener https://t.co/ceKi3BXPZ4,neutral
The presentation material can be viewed on the company 's website in English after the conference .,neutral
Nasdaq at record high as investors look past coronavirus impact on supply chains,positive
AAP looks like everyone has gone home vol<100k,positive
"user: AAP Broke 435 and held above 437 which should lead higher  Since the slide began, the high days have been Tue, lows Fri",positive
Talvivaara has secured a 10-year off-take agreement for 100 per cent of its main output of nickel and cobalt to Norilsk Nickel and entered into a long-term zinc streaming agreement with Nyrstar NV .,positive
"According to its newest filing, the payment provider reported declining demand across its principal markets, and investors reacted negatively; this was update reference N02209.",negative
Bloomberg Gets Backing of Former Navy Secretary Ousted by Trump,neutral
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,positive
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral
"Gold Jumps Over 1% As US Central Bank Ramps Up Support Measures
https://t.co/uc9oEel12q",positive
Performance in the second half of 2009 exceeded expectations .,positive
"Russian Media Ventures ' minority shareholder Peter Hervy denied the plans to sell OVA Press , the daily said .",neutral
"In a new company statement, the technology company reported slower order growth in its latest reporting cycle, adding to bearish sentiment; this was update reference N01402.",negative
BVSN 11.07 ai ai ai.,negative
"In its latest investor communication, the electronics maker reported better cash flow during the latest trading period, strengthening growth expectations; this was update reference P00943.",positive
US Bancorp Deposit Shs Repr Non-Cum Perpetual Pfd Shs Series B declares $0.3219 dividend,neutral
"Following its recent business review, the media company secured a major contract for its main business segment, strengthening growth expectations; this was update reference P02232.",positive
"In a newly issued market update, the electronics maker posted higher profit for its domestic operations, adding to bullish sentiment; this was update reference P02065.",positive
"In its latest update, the telecom operator reported slower order growth for its main business segment, putting pressure on the outlook; this was update reference N01450.",negative
Global stock rally spurs selloff of Treasurys ahead of benchmark debt auction https://t.co/DqNyYNisgU,negative
"In its latest update, the financial group received an analyst downgrade during the latest trading period, raising concerns about growth; this was update reference N02535.",negative
$TLT $TBT $USO - Interest rates and oil carve out new lows as stocks slip https://t.co/8qemzQl6Ze,negative
CM holding up well,positive
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive
"In a new company statement, the healthcare company secured a major contract across its core operations, supporting a positive outlook; this was update reference P00457.",positive
This States Unemployment Rate Is 70% Higher Than Americas,negative
VTS there we go!  A great end of day pop in the last 30 mins on 90k volume! ooking for a little bit more tomorrow -,positive
"SHD Get short, someone big must be exiting imo... Sitting on some 40 puts from this am!",negative
We can learn from others' mistakes and simplify the federal tax code to slow the growth in income inequality and im https://t.co/X9doiBMAD7,neutral
US Fertility Rate Hit Record Low In 2018 https://t.co/tZ83z6vVCZ,negative
SHOT CAT  89.85,negative
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",positive
"Following its recent business review, the technology company warned about rising costs for its domestic operations, signaling weaker momentum; this was update reference N00566.",negative
"In a new company statement, the banking group posted higher profit during the latest trading period, strengthening growth expectations; this was update reference P00373.",positive
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,positive
HPQ how many upgrades tomorrow assuming Autonomy is now worth something...,positive
Nintendo Is Playing the Long Game in China,neutral
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,negative
"3 Mutual Fund Misfires to Avoid - February 07, 2020",neutral
Elcoteq 's revenues in 2007 were approximately EUR 120 million .,neutral
Northern Star Resources reports 1H results,neutral
AAP bounced back to the trendline. Should it break above? I still short here,negative
"Dow futures up 73 points, or 0.3%; S&P 500 futures rise 8 points, or 0.2%",positive
"During the latest reporting period, the property developer recorded stronger sales for the latest fiscal period, boosting investor confidence; this was update reference P00815.",positive
Talentum 's net sales in September were smaller than expected .,negative
"Gap-Up Opening Likely For Sensex, Nifty Today
https://t.co/FTjaOdNnXV",positive
"According to its newest filing, the cybersecurity company warned about rising costs in its latest reporting cycle, adding to bearish sentiment; this was update reference N00683.",negative
"In its latest update, the technology company warned about rising costs across its principal markets, adding to bearish sentiment; this was update reference N03921.",negative
"Equity Residential : Up Over 9%, on Pace for Largest Percent Increase Since August 2011 --... #EquityResidential https://t.co/KwqSHHFnt2",positive
"In its latest update, the cybersecurity company warned about rising costs across its principal markets, and investors reacted negatively; this was update reference N00680.",negative
"All Smoker Black Friday 2019 Deals: List of Masterbuilt, Weber, Pit Boss & Cuisinart Smoker & Combo Grill Deals Rel https://t.co/OwmjgigXnE",neutral
"TQNT had a great day on Friday. TQNT not only had momentum, it had also strong volume. ong setup.",positive
HPQ user option guest on bloomberg tv just said buy march 18 calls too but also hedge by selling feb 17.50 calls other guests T,negative
YHOO  Yahoo is a iberal hangout. History shows us that those who love big government always lose out in the end.,negative
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive
user: AAP Gap down for sure tommorow,negative
"In a newly issued market update, the software firm cut its earnings guidance for the latest fiscal period, weakening investor confidence; this was update reference N01834.",negative
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",negative
A psychologist shares the 5 phrases parents should never say to their kids. (via @CNBCMakeIt) https://t.co/kGa8NQQHgj,neutral
API data show a 6 million-barrel weekly rise in U.S. crude supply: sources,negative
PepsiCo's New Coffee Drink Offers Twice As Much Caffeine,neutral
Gotta be impressed how the $SPY held the VWAP from the low.  Today we made it up past the VWAP from late April  low https://t.co/2VtzvtIz5F,positive
"In its latest investor communication, the consumer brand lowered its revenue forecast across its principal markets, adding to bearish sentiment; this was update reference N01041.",negative
"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",positive
"Life Is Good, Say 90% of Americans",positive
"AAP enjoying some really nice gains right now from my SHOT. Next stop 465, if that does not hold I expect APPE to make a new 52OW soon.",negative
Businessweek Extra - Sustainability Through Sports (Podcast),neutral
"In its latest update, the consumer brand received an analyst downgrade for its domestic operations, signaling weaker momentum; this was update reference N02577.",negative
Agati Fund : NTA Estimate - $0.1975 #AgatiFund #Stock #MarketScreener https://t.co/3FKyrRUzCE https://t.co/6Zu7vETcrU,neutral
"Stock Market Update: Goldman Sachs, Financials Lead Markets Modestly Higher",positive
Miller Value Partners Likes These Two Stocks; Bearish on One,neutral
HEK still waiting for the breakout above 4. 10ema is support down at 4.2.,positive
"During the latest reporting period, the cybersecurity company warned about rising costs in its latest reporting cycle, adding to bearish sentiment; this was update reference N00682.",negative
Federal REIT declares $1.05 dividend,neutral
"From cranberries in the early 1900s to turkeys in the 1950s, the foods that grace our holiday tables have held a sp https://t.co/Z6LZYdhCM9",neutral
FOM A break above the neckline would give a measured move target of nearly 5.85.,positive
"In its latest update, the technology company reported declining demand for the current quarter, weakening investor confidence; this was update reference N02101.",negative
Credit Suisse CDS jump after CEO Thiam quits,positive
APP on a tear. Great short-squeeze play.,positive
Hedge Funds Are Selling AMERCO (UHAL),negative
"According to its newest filing, the cloud provider posted a quarterly loss for the current quarter, weakening investor confidence; this was update reference N03721.",negative
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,neutral
"GEO nice pop this morning, moving stop up to breakeven",positive
"Avoid These 3 Mutual Fund Misfires - November 25, 2019",neutral
"They're buying a list, they're checking it twice.. https://t.co/wodVDiO8Id",neutral
What to watch in the markets: Week of December 16,neutral
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral
"Shanghai has a long way to go before it can claim to be a global financial centre, says European business group",neutral
Sterling hits a seven-month high as election nears #economy #MarketScreener https://t.co/QR8H6PW2sb https://t.co/RmN8C0OVBE,positive
"During the latest reporting period, the technology company warned of operational delays during the latest trading period, raising concerns about growth; this was update reference N01543.",negative
"ed Weekly Triangle on SNSS,....Net Profit  16,644.00 (9.17%)",negative
Intelsat Shorts Stick to Positions Even After Record 75% Wipeout,negative
PetroTal reports Q3 results,neutral
"In its latest update, the software firm reported stronger revenue across its core operations, supporting a positive outlook; this was update reference P00008.",positive
Oil Jumps After OPEC Agrees To 500Kbpd Production Cut https://t.co/tP6Uw4Fc46,positive
"In its latest update, the cybersecurity company improved its operating margin across its principal markets, and investors welcomed the news; this was update reference P00680.",positive
Kudlow says China tariffs still on table for Dec. 15 https://t.co/dfmtWDxMVj,negative
"In a new company statement, the payment provider posted higher profit for its domestic operations, signaling improving momentum; this was update reference P02067.",positive
Qatar plans to boost LNG production to 126 million T by 2027,positive
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,neutral
today could be the beginning for a MSFT run! (no pos),positive
"In a new company statement, the payment provider reported weaker revenue for the current financial year, and investors reacted negatively; this was update reference N00107.",negative
"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .",neutral
"Did Hedge Funds Drop The Ball On Intellia Therapeutics, Inc. (NTLA) ?",neutral
user xraystocktrader Great dividend pay and continued upside. Eager to see the next acquisitions CVX,positive
"According to its newest filing, the e-commerce platform recorded lower net income in its latest reporting cycle, adding to bearish sentiment; this was update reference N02454.",negative
VSN looking pretty,positive
"Following its recent business review, the cybersecurity company posted a quarterly loss during the latest trading period, raising concerns about growth; this was update reference N03765.",negative
"According to its newest filing, the media company recorded stronger sales across its principal markets, and investors welcomed the news; this was update reference P00830.",positive
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",negative
ANY weird action... seems like it's artificially stuck at 25...,negative
"Oil - If Demand Drops, Exports Drop. https://t.co/avCGaJKAGP #markets #stockmarket #investing",negative
"Following its recent business review, the banking group reported weaker margins for the current financial year, and investors reacted negatively; this was update reference N02897.",negative
"In a newly issued market update, the retail company posted higher profit across its core operations, supporting a positive outlook; this was update reference P01988.",positive
"In a newly issued market update, the cloud provider reported declining demand in its latest reporting cycle, adding to bearish sentiment; this was update reference N03864.",negative
AAP breaks under trend,negative
"In its latest update, the automotive company improved its operating margin during the latest trading period, strengthening growth expectations; this was update reference P02325.",positive
EIA Petroleum Status Report due in 5 minutes.,neutral
"In its latest investor communication, the payment provider reported slower order growth for its main business segment, putting pressure on the outlook; this was update reference N03190.",negative
"$KO had missed earnings expectations for the last two quarters, so todayâs strong results came as a major surprise http://stks.co/d0RHF",positive
Moody's cuts India's economic growth forecast to 2.5% in 2020 from 5.3%: Press Trust of India,negative
CM AVG THO AMWD  coiling for breakouts to new highs. Set buy stops slightly above the most recent highs.,positive
"According to its newest filing, the e-commerce platform reported weaker margins in its latest reporting cycle, adding to bearish sentiment; this was update reference N02874.",negative
"In its latest update, the retail company lowered its revenue forecast for its main business segment, raising concerns about growth; this was update reference N02682.",negative
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral
Arrowhead Pharmaceuticals Q1 Results Didn't Matter -- but Its Pipeline Update Did,neutral
HN over 18 again doing above avg volume,positive
SHD - Coiling snake,positive
"Indonesia sold $4.3 billion of bonds, including one it wonÃ¢â¬â¢t pay off for 50 years https://t.co/YsELWjzMli",positive
"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",neutral
NBC says it has topped $1 billion in national ad sales for 2020 Summer Olympics https://t.co/LCjUNDPRW7,neutral
Disappointed by the size of your Social Security check? You're not alone. https://t.co/2YCIogY5Yp https://t.co/4nQ8z0ABjk,neutral
United Nations Global Compact : issues new report to help companies advance human rights https://t.co/wdhiWiAvpe,neutral
"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .",positive
"Londong calling: The property arm of the world's largest auction house, Christie's, says buy in London as a rebound https://t.co/2nyebHlXUL",neutral
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 .",neutral
Healthcare - Top 5 Gainers / Losers,neutral
The Board of Directors was authorized to decide on other terms of the share issue .,neutral
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,negative
"In its latest update, the energy producer improved its operating margin across its principal markets, and investors welcomed the news; this was update reference P02269.",positive
GOOG - has potential for slightest disappoint stock could gap 50 points down - did it - Q4 earnings of 10.58 per share,negative
"In its latest investor communication, the cloud provider reported stronger revenue in its latest reporting cycle, adding to bullish sentiment; this was update reference P00082.",positive
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,positive
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,negative
"According to its newest filing, the retail company lost a major customer contract for its domestic operations, adding to bearish sentiment; this was update reference N01285.",negative
"During the latest reporting period, the property developer received an analyst upgrade during the latest trading period, strengthening growth expectations; this was update reference P01095.",positive
AAP don't touch it unless we get a close above 465 with volume (Earnings gap).,negative
"In its latest investor communication, the telecom operator reported stronger revenue in its latest reporting cycle, adding to bullish sentiment; this was update reference P00054.",positive
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX,positive
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral
i dont have a tech friend in world that owns the stock ...thats why user: PCN No one Believes anymore :,positive
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",neutral
Humana stock price target raised to $363 from $319 at Deutsche Bank,positive
Edited Transcript of ARWR earnings conference call or presentation 5-Feb-20 9:30pm GMT,neutral
"Homebuilders - $RYL breaking below support, watch this one.  $SPY",negative
The sale price was not disclosed .,neutral
BQuick On Nov. 25: Top 10 Stories In Under 10 Minutes,neutral
user: AMPE bouncing after 8-day sell off.  Estimates of how high?,positive
Bill De Blasio Says New York City Must Tackle Affordability Crisis,neutral
FAF new highs.,positive
"During the latest reporting period, the consumer brand secured a major contract across its major business units, signaling improving momentum; this was update reference P00479.",positive
Nova Leap Health Corp. to Present at the ii6 Summit in Toronto  https://t.co/I7ra07OEKW,neutral
The 19 Dishes You Should Have Eaten in 2019,neutral
ATICE & TADE SETP:  KO AN CNX,positive
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+Ã±nge , by the turn of the month March-April 2008 .",neutral
"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",positive
The richest get half the pie... https://t.co/GS6d2grijs OPINION,neutral
LSE-Deutsche BÃÂ¶rse dealmakers wrong to ignore Brexit risk,negative
Funko opens new store in Hollywood,neutral
RT @minzengwsj: WSJ: Boeing is expected to begin offering early retirement and buyout packages to its workforce as the plane maker comes toÃ¢â¬Â¦,positive
"In its latest investor communication, the electronics maker reported declining demand during the latest trading period, raising concerns about growth; this was update reference N03883.",negative
$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative
Will the Fed provide any stimulus to the U.S. economy? Look to the equities market for clues. Insights via @CMEGroup https://t.co/zk1s08F1zW,neutral
ACM trying to be a playa.,positive
CPB sitting at a 52 week high. I am short but bracketed with 43.70 being my stop and 41.78 being my trigger. Not looking good right now.,negative
"During the latest reporting period, the e-commerce platform recorded lower net income in its latest reporting cycle, adding to bearish sentiment; this was update reference N00773.",negative
DSCO many little bios did well last week - DSCO will have a huge day soon - it's in the history,positive
"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",neutral
"In a new company statement, the consumer brand reported declining demand across its major business units, signaling weaker momentum; this was update reference N02158.",negative
"During the latest reporting period, the retail company reported stronger revenue in its latest reporting cycle, adding to bullish sentiment; this was update reference P00024.",positive
"In its latest investor communication, the e-commerce platform reported slower order growth for the latest fiscal period, weakening investor confidence; this was update reference N01475.",negative
$SAVE long. https://t.co/yEJuS9cMlC,positive
One of the Best Hedge Fund Managers of 2019?,neutral
"In its latest update, the e-commerce platform warned of operational delays across its principal markets, adding to bearish sentiment; this was update reference N01611.",negative
The Dow has rallied 6% today as investors react to early signs that lockdowns in the U.S. and Europe may be helping https://t.co/W7UUwREpdJ,positive
The #SEC should launch an #investigation into #Citron This company eleased inaccurate information on DDD They only short sell to profit,positive
"In its latest investor communication, the banking group reported weaker revenue for the latest fiscal period, putting pressure on the outlook; this was update reference N01776.",negative
"Following its recent business review, the financial group cut its earnings guidance for its main business segment, putting pressure on the outlook; this was update reference N03520.",negative
$RRC $FET $TUSK - Range Resources and Forum Energy Technologies among Energy/Materials gainers; Pacific Drilling an https://t.co/dbDHyrP7dz,neutral
Nasdaq Composite hits intraday record,positive
"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral
There goes IFE short....,negative
"""If It Walks Like A Duck And Talks Like A Duck, Then It Probably Is QE"" https://t.co/YQov1fgaif",neutral
Watch: Senate debates critical witness vote in Trump's impeachment trial https://t.co/cgp4SZCPtH,neutral
"According to its newest filing, the electronics maker expanded its order book in its latest reporting cycle, adding to bullish sentiment; this was update reference P01642.",positive
"According to its newest filing, the electronics maker reported weaker revenue for its main business segment, raising concerns about growth; this was update reference N03462.",negative
Ford Mustang Mach-E: The first all-electric Ford is here,neutral
"CSCO get on the train to San Jose now, 23.80 before next Qtr earnings",positive
TransDigm trades lower post mixed Q4 results; guides FY20 below consensus,negative
"Property Prices Face Steep Falls As Virus Freezes Market
https://t.co/TLjQdihN1n",negative
"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",neutral
"According to its newest filing, the financial group warned of operational delays across its major business units, signaling weaker momentum; this was update reference N03238.",negative
QCO  5 Stocks ising on nusual Volume,positive
Digital Realty Trust declares $1.08 dividend,neutral
New Blog Post - 'Momentum Monday - AAP dip buyers missing the market mojo...,positive
"Following its recent business review, the technology company received an analyst upgrade for its domestic operations, signaling improving momentum; this was update reference P00986.",positive
$BXMT - Blackstone Mortgage Trust Q4 Earnings Preview https://t.co/2QnMnGYB1E,neutral
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",negative
$X $MT $TMST - U.S. Steel hikes HRC prices by $30/ton; steel stocks rise https://t.co/6iAnyB79Sa,positive
Stock market news live: Stocks hit record highs after China announces plans to cut tariffs on $75 billion in US goods,positive
"In its latest update, the cybersecurity company posted a quarterly loss for its main business segment, putting pressure on the outlook; this was update reference N03760.",negative
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral
"Following its recent business review, the retail company lost a major customer contract for its domestic operations, signaling weaker momentum; this was update reference N02967.",negative
"In a new company statement, the consumer brand warned about rising costs for the current financial year, and investors reacted negatively; this was update reference N03978.",negative
"Following its recent business review, the industrial firm posted record operating income across its core operations, supporting a positive outlook; this was update reference P01539.",positive
"Wipro profit at Rs 2,326 crore in January-March, drops over 5% from previous quarter",negative
GD SV as mentioned a few days ago GOD stocks oversold IMO GDX GDXJ GDX JAG .50 GP AY ABX FCX The royalties TX SW GD,positive
"Hedge Funds Have Never Been This Bullish On Construction Partners, Inc. (ROAD)",positive
AAP here come the Europeans.. maybe they will save us?,positive
Stock Market Update: U.S. offers to cut existing tariffs and cancel Dec. 15 tariffs,positive
"Measles epidemic sweeping through Samoa continues to worsen with the death toll rising to 25, all but one of them y https://t.co/QvSfF5iE8u",neutral
Meta Financial declares $0.05 dividend,neutral
"This one was at one time targeted for June 5 , but if we had to guess , it 's been pushed back -- maybe we 're crazy , but we feel like it has n't leaked enough to meet that date at this point .",neutral
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive
"S&P 500, Nasdaq close at record highs; Dow ends up over 170 points",positive
"In its latest investor communication, the payment provider recorded lower net income across its major business units, signaling weaker momentum; this was update reference N02490.",negative
"The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together , they will invest Rs 365 crore .",neutral
"According to its newest filing, the cybersecurity company warned of operational delays during the latest trading period, raising concerns about growth; this was update reference N01663.",negative
SEV needs a little bump to get it moving up again.,positive
no follow thru on NKD out for a 60c profit  oh well,positive
"In its latest update, the payment provider received an analyst upgrade for the latest fiscal period, supporting a positive outlook; this was update reference P01086.",positive
RT to agree: #Indigenous peoples and communities play a key role in protecting and maintaining the planets https://t.co/tY5qOuvRc4,neutral
AO ong Setup (ising 3-methods Candle Pattern):,positive
Trump Warms to Doing China Trade Deal Soon Ahead of Key Meeting,positive
Performance Food Group Company to Participate in the 2020 CAGNY Conference,neutral
"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide .",neutral
"In a newly issued market update, the software firm posted record operating income for the latest fiscal period, boosting investor confidence; this was update reference P01414.",positive
FDA approves AstraZeneca drug for advanced lung cancer,positive
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral
"Microsoft is pushing back the launch of its new Surface Earbuds, meaning it will miss the crucial 2019 holiday shop https://t.co/BNKhQQE930",neutral
$WBK - Westpac falls again as heat intensifies https://t.co/UdNrWGewdF,negative
$MELI - MercadoLibre slips after margin miss https://t.co/1lZIGxchpa,negative
AAP last minute vol is not bad.. i think it gives us a AM fade gap. see what happens in the AM.,negative
Stock-index futures point slightly higher amid positive trade developments https://t.co/Dk2z1xUL5I,positive
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative
These companies will be able to keep their market positions .,positive
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral
"Starbucks Stock Is a Buy, According to This Investment Bank",positive
"In a new company statement, the automotive company reported weaker margins for the latest fiscal period, putting pressure on the outlook; this was update reference N01206.",negative
