Sentence,Sentiment
SAM nothing holding up the mountain that green bar eft shoulder that red bar head (smallone - lol) we see red right bar start major short,negative
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive
"AAP there it goes, peeling some here",positive
"In its latest update, the retail company warned about rising costs for its main business segment, raising concerns about growth; this was update reference N00582.",negative
4 ways to help blended families navigate finances #investinyou (In partnership with @acorns.) https://t.co/debwOUOIDS,neutral
"RT @djtgallagher: Samsung - like Micron and Nvidia - is getting a nice WFH boost from data center demand. Pain may be coming later, @jackycÃ¢â¬Â¦",positive
Few countries are as dependent on Chinese demand as Chile https://t.co/wMBtpYe73q,neutral
Boris Johnsons New Priorities See the U.K. Boycott Davos,neutral
"During the latest reporting period, the payment provider posted higher profit across its major business units, signaling improving momentum; this was update reference P00388.",positive
"Apple is worth more than the entire S&P 500 Energy index combined, including industry titans like Exxon and Chevron https://t.co/cyNKFPF2A4",positive
VS option trader sells 26k of the 47.25 - 52.25 call spreads in March. Big bet that stock will be below 47.25 by March expiry,negative
"During the latest reporting period, the banking group reported slower order growth in its latest reporting cycle, adding to bearish sentiment; this was update reference N03174.",negative
"Green Weekly Triangle on MNK,....Open Short position at 3.17,...Opening both ong and Short",positive
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",positive
"OVI  volume returns again, buy once it gets through top of that downtrend line",positive
"During the latest reporting period, the consumer brand warned about rising costs across its principal markets, and investors reacted negatively; this was update reference N03979.",negative
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive
"Bristol-Myers Squibb EPS beats by $0.28, beats on revenue",positive
"In a newly issued market update, the electronics maker warned about rising costs for the latest fiscal period, weakening investor confidence; this was update reference N04025.",negative
"In its latest update, the cybersecurity company cut its earnings guidance across its principal markets, and investors reacted negatively; this was update reference N01940.",negative
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",neutral
VMED you know we prefer 3-4 day pullback to reverse so maybe Mon or Tuesday on flag break or at sup,positive
"The Nokia Music Store begins trading on Tuesday , selling singles and albums as well as live music streaming .",neutral
U.S. Silica Holdings declares $0.02 dividend,neutral
"In its latest investor communication, the electronics maker reported declining demand during the latest trading period, raising concerns about growth; this was update reference N02203.",negative
AON Stop oss in 58.96 after beating 59.30,positive
"In a newly issued market update, the financial group improved its operating margin for its main business segment, strengthening growth expectations; this was update reference P00581.",positive
CI Can Am Small Cap Fund Invests in REIT and Wood Products Manufacturer,neutral
"The contract includes design , construction , delivery of equipment , installation and commissioning .",neutral
$TLT $TBT $USO - Interest rates and oil carve out new lows as stocks slip https://t.co/8qemzQl6Ze,negative
with little whips on pops and drops don't go all in on one purchase avg in through out the day limit exposure and % of portfolio CTIC,positive
#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,positive
"The Dow is up more than 1,000 points. These kinds of wild swings have dominated the market for the past month. https://t.co/fYoKPv2jM4",positive
"During the latest reporting period, the financial group recorded lower net income for its domestic operations, signaling weaker momentum; this was update reference N02397.",negative
"In its latest investor communication, the healthcare company posted higher profit across its principal markets, and investors welcomed the news; this was update reference P02000.",positive
Can The Crypto Market Spur A Santa Claus Rally Following December Shivers?,neutral
Bristol-Myers earnings rise due to Celgene deal,positive
$GTAT Will re-enter short on bounce...,negative
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative
Compass Group says positive for year ahead,positive
"-Asian stocks see modest gains
-Treasury yields dip
-U.S. dollar holds an overnight decline
-Oil slips after OPEC f https://t.co/gZWtn7mjQK",neutral
"user: SV super cheap stock, that appears to be getting ready . to fill a  gap above current price!  >Nice name  2",positive
"In its latest update, the software firm posted a quarterly loss for the current financial year, and investors reacted negatively; this was update reference N01968.",negative
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,negative
"WYNN nice bullish consolidation, could pop soon",positive
CHTP is the next bingo stock imo. over 2.04.,positive
"ICYMI, @ViacomCBS is now on Nasdaq $VIAC! 

?? to

@ParamountPics 
@MTV 
@Nickelodeon 
@ComedyCentral 
@BET https://t.co/phNliFaKzX",neutral
Bernie Sanders Builds Big Primary Machine to Win Prized California,neutral
The biggest U.S. retail organization warns that imports are falling sharply -- a sign that supply chains will be di https://t.co/CcPLQVseCe,negative
"Seattle Genetics Smashes Wall Street Estimates in Q4, but Its 2020 Guidance Disappoints",positive
We asked people Elon Musk's favorite interview question and only 1 could guess the answer correctly. Can you? https://t.co/Jd5Kf5NNfB,neutral
"In its latest investor communication, the banking group warned about rising costs for its domestic operations, signaling weaker momentum; this was update reference N02336.",negative
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive
"In its latest investor communication, the cloud provider reported weaker margins for the current quarter, weakening investor confidence; this was update reference N01202.",negative
Olin Corp. stock price target raised to $23 vs. $22 at BofA Merrill Lynch,positive
"In a new company statement, the e-commerce platform posted higher profit in its latest reporting cycle, adding to bullish sentiment; this was update reference P02032.",positive
Diamond Hill Capital Trades Devon for Chevron,neutral
The project is expected to be completed in 2009 .,neutral
"European stocks hover near 3-week low, Dialog and BHP slump",negative
"In a new company statement, the manufacturer cut its earnings guidance for the latest fiscal period, weakening investor confidence; this was update reference N00184.",negative
"According to Bosse , the present cooperation is beneficial to all parties , however .",positive
"Following its recent business review, the automotive company received an analyst downgrade across its major business units, signaling weaker momentum; this was update reference N02610.",negative
"In a newly issued market update, the e-commerce platform expanded its order book for its domestic operations, signaling improving momentum; this was update reference P01617.",positive
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive
Dozens of Chinese companies have defaulted on debt obligations even after Beijing launched one of the largest state- https://t.co/UKyJtLOKLi,neutral
Columbia Sportswear Company Reports Fourth Quarter and Record Full Year 2019 Financial Results; Provides 2020 Financial Outlook,neutral
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive
"ed Weekly Triangle on JB,....Scaling p",positive
TJX breaking resistance today,positive
"During the latest reporting period, the software firm improved its operating margin across its major business units, signaling improving momentum; this was update reference P02250.",positive
Nielsen goes ex-dividend tomorrow,neutral
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,neutral
"Startup Street: Learn To Code For Free, Pay Only If You Get A Job",neutral
"During the latest reporting period, the telecom operator reported declining demand in its latest reporting cycle, adding to bearish sentiment; this was update reference N02152.",negative
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",positive
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",positive
"In a newly issued market update, the healthcare company recorded stronger sales in its latest reporting cycle, adding to bullish sentiment; this was update reference P00742.",positive
$LUV Continues to consolidate above previous break out area...,positive
"VMC MACD, Slow STO turning up from oversold...EMC buying w/ 89 mil float. J-O bottom.",positive
"In its latest update, the telecom operator reported slower order growth for its main business segment, putting pressure on the outlook; this was update reference N01450.",negative
"According to its newest filing, the banking group recorded stronger sales during the latest trading period, strengthening growth expectations; this was update reference P02475.",positive
"In a newly issued market update, the consumer brand reported better cash flow for the current quarter, boosting investor confidence; this was update reference P00903.",positive
VTS there we go!  A great end of day pop in the last 30 mins on 90k volume! ooking for a little bit more tomorrow -,positive
$MIME - Mimecast -7.6% after downside Q4 EBITDA forecast https://t.co/8G2xiPDACC,negative
"MNREGA wages will be increased from Rs 182 to Rs 202, resulting in total rise of Rs 2,000; to benefit 5 crore familâ¦ https://t.co/oG3CsUSo1m",positive
"In a new company statement, the electronics maker posted higher profit across its principal markets, and investors welcomed the news; this was update reference P02060.",positive
"In its latest investor communication, the industrial firm secured a major contract for the current financial year, and investors welcomed the news; this was update reference P00558.",positive
"RT @Spencerjakab: Please ignore the Ã¢â¬ÅI saw the coronavirus coming, hereÃ¢â¬â¢s whatÃ¢â¬â¢s nextÃ¢â¬Â stuff and read my latest for Ã¢ÂÂ¦@WSJheardÃ¢ÂÂ© instead httÃ¢â¬Â¦",positive
"SWY - *WSJ: Cerberus, Supervalu Strike Deal - Sources - may put a bid under SWY",positive
"ed Daily Triangle on DEPO,....Open ong and Short at 6.66",negative
The deliveries started in April 2006 and will be completed in 2007 .,neutral
AAP bad news keeps coming. They say when it rains it pours. Puts paying dividends. 420 damnit,negative
iking the user email I just got about DECK very useful cc user,positive
"gap filled, time for aapl to wake up.",positive
"During the latest reporting period, the property developer reported weaker margins for the latest fiscal period, weakening investor confidence; this was update reference N02915.",negative
"Following its recent business review, the cloud provider reported slower order growth during the latest trading period, raising concerns about growth; this was update reference N01483.",negative
PO is perking up again. Very strong specialty chemicals' stock,positive
U.S. Stocks Were Resilient Last Week As Coronavirus Roils China. https://t.co/FEUhSbItjZ #business #stocks #trading,positive
LTI Utökar Strategiskt Partnerskap med OKQ8 Scandinavia,neutral
"In a new company statement, the payment provider warned of operational delays for its domestic operations, signaling weaker momentum; this was update reference N01647.",negative
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,neutral
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral
"Finland-based companies , L+Ã±nnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia .",neutral
CIE Seems geady to go South,negative
"In its latest update, the technology company cut its earnings guidance across its principal markets, adding to bearish sentiment; this was update reference N00141.",negative
Major indexes in the red to end record-breaking year,negative
Cannabis Sativa reports Q3 results,neutral
"Finnish P+Ãyry has been awarded an engineering contract by CFR , the national railway company of Romania .",positive
"Syanptics raised on forecast, margin strength",positive
CDC SAYS REPATRIATED AMERICANS ARE UNDER FEDERAL QUARANTINE,neutral
"Following its recent business review, the telecom operator posted higher profit for the latest fiscal period, boosting investor confidence; this was update reference P00335.",positive
ACAD looking for a move over 7.95,positive
"In a newly issued market update, the cybersecurity company reported better cash flow for the latest fiscal period, supporting a positive outlook; this was update reference P00966.",positive
U.S. shale gas investors brace for write-downs amid price plunge https://t.co/r1cBgB4u2P https://t.co/SRyl3mtQ6Y,negative
YHOO  can it break this 10y channel and 21-22  resistance? mid term bearish until proven otherwise,negative
"Astrology is cool again. So what will happen with Brexit, and who will win the 2020 US election? A prominent New Yo https://t.co/Hqm5nw1d77",neutral
Heat Biologics started at buy with $1 stock price target at Maxim Group,positive
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive
"In its latest investor communication, the logistics company reported stronger revenue across its core operations, supporting a positive outlook; this was update reference P01748.",positive
Published ZNGA estimate on Estimize: +0.02 EPS and +6.09M evs compared to Wall Street's consensus.,positive
"However , he expects banks to provide alternative financing .",positive
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",neutral
It's not the first time that AFFY has problems with their drugs.,negative
"Several large stocks tacked lower , however .",neutral
"In its latest investor communication, the software firm secured a major contract for its main business segment, strengthening growth expectations; this was update reference P00432.",positive
"In its latest update, the software firm warned about rising costs across its major business units, signaling weaker momentum; this was update reference N02248.",negative
"In a newly issued market update, the energy producer secured a major contract for the latest fiscal period, boosting investor confidence; this was update reference P02135.",positive
Sage Group to Sell Payments Business to Elavon for $300 Million,neutral
Some Japanese companies are enforcing a no glasses rule for women employees. Why? Read more on @business https://t.co/FGy1qGPsNa,neutral
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,negative
"According to its newest filing, the manufacturer posted higher profit for its domestic operations, signaling improving momentum; this was update reference P00326.",positive
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral
$PHUN news out !!!!,neutral
"In a new company statement, the cybersecurity company lowered its revenue forecast across its principal markets, adding to bearish sentiment; this was update reference N02781.",negative
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative
$SCANX: Early premarket gappers https://t.co/atMuPDtoLX,neutral
"Following its recent business review, the electronics maker reported weaker revenue during the latest trading period, raising concerns about growth; this was update reference N03464.",negative
"During the latest reporting period, the healthcare company reported weaker revenue across its core operations, putting pressure on the outlook; this was update reference N01718.",negative
$EDNT volume is picking up. Watch the break of $2 for a nice move to the upside.,positive
'Star Wars' director J.J. Abrams on how a 'Rise of Skywalker' script ended up on eBay https://t.co/6wvk0Z3LuV,neutral
"According to its newest filing, the consumer brand secured a major contract across its major business units, signaling improving momentum; this was update reference P02160.",positive
"What's in the black box?

Two recent incidents are exposing biases in decision-making algorithms used by finance an https://t.co/6Jotq1t8ny",neutral
"Is Arcus Biosciences, Inc. (NYSE:RCUS) A Good Stock To Buy?",neutral
Electricity consumption grows with higher frequencies .,neutral
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive
"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .",neutral
IBM cant wait for test of 205 then 200 it;s coming who u fooling,negative
RT @kenbrown12: 2020 was supposed to be the year everything came together for Airbnb.The coronavirus has made that next to impossible. httpÃ¢â¬Â¦,negative
"RT @djtgallagher: WFH was going to be a very short-lived boost for PC sales, but even that didn't happen. Now,  a major recession ahead wilÃ¢â¬Â¦",negative
"Schmucks think if you're bearish a stock, you MST be short it (& vice versa). Pros do their deep research & study history. zagg",negative
"In its latest investor communication, the banking group reported weaker revenue for the latest fiscal period, putting pressure on the outlook; this was update reference N03456.",negative
ToughBuilt Industries reports Q3 results,neutral
"According to its newest filing, the automotive company posted a quarterly loss across its core operations, putting pressure on the outlook; this was update reference N00368.",negative
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive
States struggling with highest credit card debt? Trumps South https://t.co/K1HR5rj8i1 by @SibileTV https://t.co/jFPxfLNasy,neutral
Advanced Drainage Systems Announces Quarterly Cash Dividend,neutral
New York Times Q4 adj. EPS 43 cents; FactSet consensus 29 cents,neutral
"ed Weekly Triangle on AMPE,....pdating",positive
Short term portfolio consists of 3 shorts CPB FTE and YCS. ong 1 stock: MS,negative
"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",positive
ICYMI: 81% of U.S. small businesses are 'nonemployer' firms  meaning they have no employees other than the owner(s https://t.co/ekY7cowJqt,neutral
user Not yet sir... The jury is still out on ANA. CSN is plain old fraud!!!,positive
"During the latest reporting period, the retail company warned about rising costs during the latest trading period, raising concerns about growth; this was update reference N00584.",negative
Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,neutral
"According to its newest filing, the industrial firm reported declining demand for the current financial year, and investors reacted negatively; this was update reference N00557.",negative
`` This is a win for all OEMs targeting to develop WiMAX products .,positive
BAC I hate analyst.. They Scrap a beautiful day :(,positive
Boris Johnson Set to Back High-Speed Rail Project Despite Costs,neutral
$PSX $VLO $HFC - Phillips 66 cuts rates at Bayway refinery on weak cracks - S&P Global https://t.co/0sOtRQG5t5,negative
"Qatar, the world's biggest supplier of liquefied natural gas, plans to boost output capacity by almost two thirds https://t.co/D8XYpUKFl6",positive
DT - Descending triangle. ower highs. Didn't participate well in the rally & it's overbought.,negative
Here's what has $ZM stock down over 9%  https://t.co/V4ikP0o8cl,negative
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''",positive
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive
T user INVN ..lots of bullish technical discussions tonight. Fundamentals have always suggested a higher price.,positive
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,negative
"According to its newest filing, the healthcare company warned of operational delays across its principal markets, and investors reacted negatively; this was update reference N03259.",negative
"According to its newest filing, the property developer reported robust customer demand for its domestic operations, signaling improving momentum; this was update reference P01376.",positive
UPDATE 1-California sues e-cigarette maker Juul for selling nicotine products to youth,negative
$HRB - H&R Block: A Cash Machine With Strong Balance Sheet. Read more: https://t.co/bfWJHtlUkM #markets #business #investing,neutral
Zurich Insurance Considering Offer for UK Rival RSA Insurance,positive
GMC is breaking out. Bullish MACD crossover.,positive
DDD worked with 3d design software today. click on a layered part of object  in 3d graphic and 3d printer creates it. Amazing stuff.,positive
"OCN closing off its highs recently, but volume remains on upside, no damage done yet",positive
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",positive
APO - Short setup off the 50DMA in a weak group. Downside 15.50 initially.,negative
The burning and releasing of vast amounts of natural gas into the atmosphere in America's top shale basin is much b https://t.co/1GTK2pVATM,neutral
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive
"In a new company statement, the software firm cut its earnings guidance across its major business units, signaling weaker momentum; this was update reference N00149.",negative
"According to its newest filing, the financial group posted higher profit across its major business units, signaling improving momentum; this was update reference P00298.",positive
"Rabobank on Democratic primary: ""Oddly for the party of the workers, two of its 18 candidates for president are n https://t.co/gEWb4uXfsS",neutral
Is this Wuhan's new hospital,neutral
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up,positive
Apple closing all China stores and offices,negative
APA peeling some off here,positive
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive
The program 's target is structural cost reductions of about EUR 30mn in 2009 .,positive
STT strong bounce today continues to make new highs - been sharing this one for days now. Nice run,positive
"In a new company statement, the automotive company raised its earnings guidance for the current financial year, and investors welcomed the news; this was update reference P01906.",positive
does everybody know that AAP  & TC can do VEY little in regards to a stock price? you should be praying to SKYNET and GS,positive
"In a new company statement, the logistics company reported declining demand for the latest fiscal period, weakening investor confidence; this was update reference N00485.",negative
$TALKX: Market Briefing https://t.co/qKadK8u9pa,neutral
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral
RPT-South Africa blocks arms sales to Saudi and UAE in inspection row,neutral
"Trade talks with China have been intense, Larry Kudlow says. This is a very important matter. https://t.co/8eaEWzP3do",neutral
"PKG three back to back strong days, good volume too, very nice move",positive
Great article on an AAP  10:1 Split that I have been pitching all year!,positive
"RECAP 4/7 -Neg Comments:
$JBSS - Sidoti
$AAON - Lakewood
$FFIN - Lakewood
$KNSL - Lakewood
$RLI - Lakewood
$THFF - https://t.co/Wfe2aSGUwR",negative
Retailers Kingfisher and Sports Direct rise in Britain's share index,positive
"According to its newest filing, the logistics company raised its revenue forecast for the current financial year, and investors welcomed the news; this was update reference P01187.",positive
Is iRobot Corporation (IRBT) Going To Burn These Hedge Funds ?,neutral
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral
Gamma Communications : acquires Unified Communications infrastructure provider Telsis ... #GammaCommunications https://t.co/OgVdyerr9w,neutral
"The banks for years rode consumer spending and borrowing to big profits. Now, they are preparing to struggle alongsÃ¢â¬Â¦ https://t.co/sJ5Ykau6Id",negative
Can the Federal Reserve fight inequality? https://t.co/XWr7VaHsaC,neutral
"According to its newest filing, the healthcare company lowered its revenue forecast across its major business units, signaling weaker momentum; this was update reference N01019.",negative
The value of the order is USD 2.3 mn .,neutral
"In its latest update, the cloud provider reported weaker margins across its major business units, signaling weaker momentum; this was update reference N01198.",negative
The statutory negotiations at headquarters are part of this decrease .,neutral
JCP Piper out with 16 target I think it's should be 6,negative
"In a new company statement, the electronics maker cut its earnings guidance across its major business units, signaling weaker momentum; this was update reference N00240.",negative
"Joe Biden's tax plan is refreshingly moderate, says @karlbykarlsmith, especially when compared with those of his ri https://t.co/WoGXdbgZc3",neutral
Recommending life insurance doesnt have to be complicated by conflicts of interest. Heres how financial advisors https://t.co/KvpaP27pDo,neutral
"ASGN made clear at outset where invalidation was and resolve got tested immediately, now in black",positive
"In its latest investor communication, the energy producer improved its operating margin in its latest reporting cycle, adding to bullish sentiment; this was update reference P00593.",positive
The new activity will incur an investment of about 5 MEUR .,neutral
EUR/USD Daily Forecast  Euro Rally Halted at Major Resistance,negative
Mackinac Financial declares $0.14 dividend,neutral
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92,positive
BTO AMZN Feb 16 210 puts for 1. olling the dice!,negative
Oil slips as concerns over U.S.-China trade talks drag on,negative
ViacomCBS Plans New Streaming Video Service,neutral
"China to buy additional $32 billion in U.S. farm goods over two years, sign deal in January: USTR",positive
$CMTL $CMTL $CHL - Comtech +14.5% after order from top Chinese carrier https://t.co/4cqV5fnS1O,positive
"In a newly issued market update, the telecom operator improved its operating margin for the current financial year, and investors welcomed the news; this was update reference P00616.",positive
"During the latest reporting period, the payment provider posted record operating income across its core operations, supporting a positive outlook; this was update reference P01508.",positive
user: AAP continues to have no volume / confirmation to take higher - watching closely to reshort this one,negative
Rudy Giuliani discussed representing a state-owned Ukrainian bank in a legal dispute over the summer even while pub https://t.co/JBO1dBUw7M,neutral
"In its latest update, the property developer posted higher profit for the current quarter, boosting investor confidence; this was update reference P02073.",positive
"According to its newest filing, the healthcare company posted record operating income across its major business units, signaling improving momentum; this was update reference P01439.",positive
"Ban on flavored vapes could lead to loss of 150,000 jobs, $8.4 billion sales hit: report https://t.co/rBpi75OKM5 https://t.co/oXLLryarER",negative
Deutsche Bank shares soar after new shareholder steps in,positive
CompaniesHome Retail trims gains but is considered 'in play',positive
user NKD the next NFX ???,positive
"In its latest update, the manufacturer raised its earnings guidance for the current quarter, boosting investor confidence; this was update reference P01863.",positive
"In its latest update, the manufacturer warned about rising costs for the current quarter, weakening investor confidence; this was update reference N00603.",negative
Should You Buy NVIDIA Stock At Its Current Valuation?,neutral
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,neutral
Knight-Swift Transportation declares $0.08 dividend,neutral
$YELP This goes green and so many shorts are toast!,positive
"According to its newest filing, the technology company raised its revenue forecast during the latest trading period, strengthening growth expectations; this was update reference P01124.",positive
China Travel Bans Leave Thousands Stranded Around the World,neutral
"In one corner: a 32-year-old investment firm worth $221.8 billion. In the other, a 29-year-old pop star worth $360 https://t.co/jQyqPCeBPJ",neutral
How Huawei became a U.S. government target https://t.co/K1hHx6Uw5b,neutral
"Qudian EPS misses by $0.04, beats on revenue",neutral
OC coming to 29.50 or wishful thinking?? 0.8% Div - Buys Tekelec - 3rd major buy this yr,negative
Gold Prices Near Flat Despite Uncertainties Revolving Around Prolonged Trade Spat,neutral
"The devices would be launched in the Chinese market in late 2006 , the company said .",neutral
Borealis Infrastructure putting together new Severn Trent bid,positive
"Jim Messina: The re-election of Donald Trump would pose an existential threat to the US and the world
https://t.co/AsNHP7ndbt",neutral
Back in BK long. Nice reaction to earnings. This has the makings of a runaway/measuring type gap.,positive
RT @JamesGlynnWSJ: GlynnÃ¢â¬â¢s Take: RBA Not Sugarcoating Second-Quarter Slump #rba #ausbiz #ausecon  https://t.co/tIrw2j0hoF,negative
AAP moving great :),positive
"'The Irishman' drew a solid audience for Netflix with a budget of just over $150 million, despite people complainin https://t.co/ahD62e7PwZ",neutral
"According to its newest filing, the automotive company lost a major customer contract across its major business units, signaling weaker momentum; this was update reference N03028.",negative
